"astro-ph/0701317","Eric Linder","Eric V. Linder and Robert N. Cahn","Parameterized Beyond-Einstein Growth","8 pages; v2 minor clarifications, matches published version","Astropart.Phys.28:481-488,2007","10.1016/j.astropartphys.2007.09.003",,"astro-ph gr-qc",,"  A single parameter, the gravitational growth index \gamma, succeeds in
characterizing the growth of density perturbations in the linear regime
separately from the effects of the cosmic expansion. The parameter is
restricted to a very narrow range for models of dark energy obeying the laws of
general relativity but takes on distinctly different values in models of
beyond-Einstein gravity. In analogy to the parameterized post-Newtonian (PPN)
formalism for testing gravity, we extend and motivate the gravitational growth
index, or Minimal Modified Gravity, approach to parameterizing beyond-Einstein
cosmology. Using a simple analytic formalism, we show how the growth index
parameter applies to early dark energy, time-varying gravity, DGP braneworld
gravity, and scalar-tensor gravity.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:33:15 GMT""},{""version"":""v2"",""created"":""Wed, 19 Sep 2007 17:51:41 GMT""}]","2010-11-05"
"cs/0701077","Karl Obermeyer","Karl J. Obermeyer, Anurag Ganguli, Francesco Bullo","Asynchronous Distributed Searchlight Scheduling","Tech. report contains proofs corresponding to a paper to appear in
  Conference on Decision and Control 2007. In this version, minor typos have
  been fixed and some notation changed for clarity",,,,"cs.MA cs.RO",,"  This paper develops and compares two simple asynchronous distributed
searchlight scheduling algorithms for multiple robotic agents in nonconvex
polygonal environments. A searchlight is a ray emitted by an agent which cannot
penetrate the boundary of the environment. A point is detected by a searchlight
if and only if the point is on the ray at some instant. Targets are points
which can move continuously with unbounded speed. The objective of the proposed
algorithms is for the agents to coordinate the slewing (rotation about a point)
of their searchlights in a distributed manner, i.e., using only local sensing
and limited communication, such that any target will necessarily be detected in
finite time. The first algorithm we develop, called the DOWSS (Distributed One
Way Sweep Strategy), is a distributed version of a known algorithm described
originally in 1990 by Sugihara et al \cite{KS-IS-MY:90}, but it can be very
slow in clearing the entire environment because only one searchlight may slew
at a time. In an effort to reduce the time to clear the environment, we develop
a second algorithm, called the PTSS (Parallel Tree Sweep Strategy), in which
searchlights sweep in parallel if guards are placed according to an environment
partition belonging to a class we call PTSS partitions. Finally, we discuss how
DOWSS and PTSS could be combined with with deployment, or extended to
environments with holes.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:55:17 GMT""},{""version"":""v2"",""created"":""Wed, 31 Jan 2007 19:18:22 GMT""},{""version"":""v3"",""created"":""Fri, 10 Aug 2007 03:41:45 GMT""}]","2011-11-09"
"cs/0701078","Vignesh Sethuraman","Vignesh Sethuraman, Ligong Wang, Bruce Hajek, Amos Lapidoth","Low SNR Capacity of Fading Channels -- MIMO and Delay Spread",,,,,"cs.IT math.IT",,"  Discrete-time Rayleigh fading multiple-input multiple-output (MIMO) channels
are considered, with no channel state information at the transmitter and
receiver. The fading is assumed to be correlated in time and independent from
antenna to antenna. Peak and average transmit power constraints are imposed,
either on the sum over antennas, or on each individual antenna. In both cases,
an upper bound and an asymptotic lower bound, as the signal-to-noise ratio
approaches zero, on the channel capacity are presented. The limit of normalized
capacity is identified under the sum power constraints, and, for a subclass of
channels, for individual power constraints. These results carry over to a SISO
channel with delay spread (i.e. frequency selective fading).
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 18:58:40 GMT""},{""version"":""v2"",""created"":""Thu, 26 Apr 2007 06:27:50 GMT""}]","2007-07-13"
"cs/0701079","Yuriy Reznik","Yuriy A. Reznik","Practical Binary Adaptive Block Coder",,,,,"cs.IT cs.DS math.IT",,"  This paper describes design of a low-complexity algorithm for adaptive
encoding/ decoding of binary sequences produced by memoryless sources. The
algorithm implements universal block codes constructed for a set of contexts
identified by the numbers of non-zero bits in previous bits in a sequence. We
derive a precise formula for asymptotic redundancy of such codes, which refines
previous well-known estimate by Krichevsky and Trofimov, and provide
experimental verification of this result. In our experimental study we also
compare our implementation with existing binary adaptive encoders, such as
JBIG's Q-coder, and MPEG AVC (ITU-T H.264)'s CABAC algorithms.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 19:58:05 GMT""}]","2007-07-13"
"cs/0701080","Yunghsiang Han","Shin-Lin Shieh, Po-Ning Chen, and Yunghsiang S. Han","Analysis of the Sufficient Path Elimination Window for the
  Maximum-Likelihood Sequential-Search Decoding Algorithm for Binary
  Convolutional Codes","Submitted to the IEEE Trans. on Information Theory, 26 pages, 11
  figures",,,,"cs.IT math.IT",,"  A common problem on sequential-type decoding is that at the signal-to-noise
ratio (SNR) below the one corresponding to the cutoff rate, the average
decoding complexity per information bit and the required stack size grow
rapidly with the information length. In order to alleviate the problem in the
maximum-likelihood sequential decoding algorithm (MLSDA), we propose to
directly eliminate the top path whose end node is $\Delta$-trellis-level prior
to the farthest one among all nodes that have been expanded thus far by the
sequential search. Following random coding argument, we analyze the
early-elimination window $\Delta$ that results in negligible performance
degradation for the MLSDA. Our analytical results indicate that the required
early elimination window for negligible performance degradation is just twice
of the constraint length for rate one-half convolutional codes. For rate
one-third convolutional codes, the required early-elimination window even
reduces to the constraint length. The suggestive theoretical level thresholds
almost coincide with the simulation results. As a consequence of the small
early-elimination window required for near maximum-likelihood performance, the
MLSDA with early-elimination modification rules out considerable computational
burdens, as well as memory requirement, by directly eliminating a big number of
the top paths, which makes the MLSDA with early elimination very suitable for
applications that dictate a low-complexity software implementation with near
maximum-likelihood performance.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 05:46:27 GMT""}]","2007-07-13"
"cs/0701081","Wim Vanhoof","Alexander Serebrenik and Wim Vanhoof","Fingerprinting Logic Programs","Paper presented at the 16th Workshop on Logic-based methods in
  Programming Languages (WLPE2006)",,,,"cs.PL cs.SE",,"  In this work we present work in progress on functionality duplication
detection in logic programs. Eliminating duplicated functionality recently
became prominent in context of refactoring. We describe a quantitative approach
that allows to measure the ``similarity'' between two predicate definitions.
Moreover, we show how to compute a so-called ``fingerprint'' for every
predicate. Fingerprints capture those characteristics of the predicate that are
significant when searching for duplicated functionality. Since reasoning on
fingerprints is much easier than reasoning on predicate definitions, comparing
the fingerprints is a promising direction in automated code duplication in
logic programs.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:39:29 GMT""}]","2007-05-23"
"gr-qc/0701064","Davide Batic","D. Batic, H. Schmid","Heun equation, Teukolsky equation, and type-D metrics","27 pages, corrected typo in eq. (1)","J.Math.Phys.48:042502,2007","10.1063/1.2720277",,"gr-qc",,"  Starting with the whole class of type-D vacuum backgrounds with cosmological
constant we show that the separated Teukolsky equation for zero rest-mass
fields with spin $s=\pm 2$ (gravitational waves), $s=\pm 1$ (electromagnetic
waves) and $s=\pm 1/2$ (neutrinos) is an Heun equation in disguise.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 16:54:06 GMT""},{""version"":""v2"",""created"":""Mon, 15 Jan 2007 14:17:46 GMT""}]","2008-11-26"
"gr-qc/0701065","Fredy Dubeibe","F. L. Dubeibe, Leonardo A. Pachon and Jose D. Sanabria-Gomez","Chaotic dynamics around astrophysical objects with nonisotropic stresses","7 pages, 5 figures","Phys.Rev. D75:023008,2007","10.1103/PhysRevD.75.023008",,"gr-qc",,"  The existence of chaotic behavior for the geodesics of the test particles
orbiting compact objects is a subject of much current research. Some years ago,
Gu\'eron and Letelier [Phys. Rev. E \textbf{66}, 046611 (2002)] reported the
existence of chaotic behavior for the geodesics of the test particles orbiting
compact objects like black holes induced by specific values of the quadrupolar
deformation of the source using as models the Erez--Rosen solution and the Kerr
black hole deformed by an internal multipole term. In this work, we are
interesting in the study of the dynamic behavior of geodesics around
astrophysical objects with intrinsic quadrupolar deformation or nonisotropic
stresses, which induces nonvanishing quadrupolar deformation for the
nonrotating limit. For our purpose, we use the Tomimatsu-Sato spacetime [Phys.
Rev. Lett. \textbf{29} 1344 (1972)] and its arbitrary deformed generalization
obtained as the particular vacuum case of the five parametric solution of Manko
et al [Phys. Rev. D 62, 044048 (2000)], characterizing the geodesic dynamics
throughout the Poincar\'e sections method. In contrast to the results by
Gu\'eron and Letelier we find chaotic motion for oblate deformations instead of
prolate deformations. It opens the possibility that the particles forming the
accretion disk around a large variety of different astrophysical bodies
(nonprolate, e.g., neutron stars) could exhibit chaotic dynamics. We also
conjecture that the existence of an arbitrary deformation parameter is
necessary for the existence of chaotic dynamics.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 23:17:56 GMT""},{""version"":""v2"",""created"":""Thu, 8 Feb 2007 22:59:35 GMT""}]","2014-11-17"
"gr-qc/0701066","Muhammad Sharif","Asghar Qadir and M. Sharif","The Relativistic Generalization of the Gravitational Force for Arbitrary
  Spacetimes","16 pages","NuovoCim.B107:1071-1083,1992","10.1007/BF02727045",,"gr-qc",,"  It has been suggested that re-expressing relativity in terms of forces could
provide fresh insights. The formalism developed for this purpose only applied
to static, or conformally static, space-times. Here we extend it to arbitrary
space-times. It is hoped that this formalism may lead to a workable definition
of mass and energy in relativity.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 08:05:03 GMT""}]","2008-11-26"
"gr-qc/0701067","Jose Natario","Jose Natario","Quasi-Maxwell interpretation of the spin-curvature coupling","9 pages; v2: new section 5, references added; v3: minor changes; v4:
  missing term in third quasi-Maxwell Einstein equation added, incorrect last
  statement of the paper deleted; v5: typos corrected; v6: minus sign corrected","Gen.Rel.Grav.39:1477-1487,2007","10.1007/s10714-007-0474-7",,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We write the Mathisson-Papapetrou equations of motion for a spinning particle
in a stationary spacetime using the quasi-Maxwell formalism and give an
interpretation of the coupling between spin and curvature. The formalism is
then used to compute equilibrium positions for spinning particles in the NUT
spacetime.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 11:34:49 GMT""},{""version"":""v2"",""created"":""Tue, 10 Apr 2007 17:01:10 GMT""},{""version"":""v3"",""created"":""Mon, 21 May 2007 11:18:10 GMT""},{""version"":""v4"",""created"":""Fri, 30 May 2008 09:17:53 GMT""},{""version"":""v5"",""created"":""Wed, 2 Jun 2010 10:32:48 GMT""},{""version"":""v6"",""created"":""Wed, 13 Jul 2011 07:30:13 GMT""}]","2011-07-14"
"gr-qc/0701068","Mariam Bouhmadi-Lopez","Mariam Bouhmadi-Lopez and Paulo Vargas Moniz","On the thermal boundary condition of the wave function of the Universe","3 pages, 3 figures, contribution to the proceedings of MG11, 23-29
  July 2006, Berlin, Germany",,"10.1142/9789812834300_0281",,"gr-qc",,"  We broaden the domain of application of the recently proposed thermal
boundary condition of the wave function of the Universe, which has been
suggested as the basis of a dynamical selection principle on the landscape of
string solutions.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 12:53:21 GMT""}]","2016-11-15"
"hep-ex/0701020","Anatael Cabrera","Anatael Cabrera","Neutrino Oscillations with Reactor Neutrinos","Plenary Talk. Proceedings of conference NOW06 to be published on Nucl
  Phys. B (Proc. Suppl.). 6 pages and 7 figures","Nucl.Phys.Proc.Suppl.168:90-95,2007","10.1016/j.nuclphysbps.2007.02.062",,"hep-ex",,"  Prospect measurements of neutrino oscillations with reactor neutrinos are
reviewed in this document. The following items are described: neutrinos
oscillations status, reactor neutrino experimental strategy, impact of
uncertainties on the neutrino oscillation sensitivity and, finally, the
experiments in the field. This is the synthesis of the talk delivered during
the NOW2006 conference at Otranto (Italy) during September 2006.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:14:25 GMT""},{""version"":""v2"",""created"":""Thu, 18 Jan 2007 16:51:18 GMT""},{""version"":""v3"",""created"":""Thu, 22 Feb 2007 10:00:29 GMT""}]","2008-11-26"
"hep-ex/0701021","Jurgen Engelfried","SELEX Collaboration, M.Iori, et al","Measurement of the Omega_c^0 lifetime","Submitted to PLB",,,"FERMILAB-PUB-07-011-E","hep-ex",,"  We report a precise measurement of the Omega_c^0 lifetime. The data were
taken by the SELEX (E781) experiment using 600 GeV/c Sigma-, pi- and p beams.
The measurement has been made using 83+/-19 reconstructed Omega_c^0 in the
Omega- pi- pi+ pi+ and Omega- pi+ decay modes. The lifetime of the Omega_c^0 is
measured to be 65 +/- 13(stat) +/- 9(sys) fs.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 01:17:12 GMT""},{""version"":""v2"",""created"":""Tue, 27 Mar 2007 23:53:03 GMT""}]","2007-09-25"
"hep-ph/0701088","Marcos Rodriguez Cardoso","M. C. Rodriguez","A supersymmetric 3-4-1 model","23 pages, 2 figures and 1table","Int.J.Mod.Phys.A22:6147-6167,2007","10.1142/S0217751X07037275",,"hep-ph",,"  We build the complete supersymmetric version of a 3-4-1 gauge model using the
superfield formalism. We point out that a discrete symmetry, similar to the
R-symmetry in the minimal supersymmetric standard model, is possible to be
defined in this model. Hence we have both R-conserving and R-violating
possibilities. We also discuss some phenomenological results coming from this
model.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:51:46 GMT""}]","2008-11-26"
"hep-ph/0701089","Sergey Afonin","S.S. Afonin","Towards understanding broad degeneracy in non-strange mesons","Brief review, 16 pages, 1 figure","Mod.Phys.Lett.A22:1359-1372,2007","10.1142/S0217732307024024",,"hep-ph",,"  The spectroscopic regularities of modern empirical data on the non-strange
mesons up to 2.4 GeV can be summarized as a systematic clustering of states
near certain values of energy. It is getting evident that some unknown
X-symmetry triggers the phenomenon. We review the experimental status of this
symmetry and recent theoretical attempts put forward for explanation of broad
degeneracy.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 18:12:47 GMT""},{""version"":""v2"",""created"":""Fri, 6 Jul 2007 06:38:31 GMT""}]","2008-11-26"
"hep-ph/0701090","Brigitte Hiller","A.A. Osipov, B. Hiller, A.H. Blin, J. da Providencia","Dynamical chiral symmetry breaking by a magnetic field and multi-quark
  interactions","6 pages, 3 figures, added discussion and references, version to
  appear in Phys.Lett.B","Phys.Lett.B650:262-267,2007","10.1016/j.physletb.2007.05.033",,"hep-ph",,"  Catalysis of dynamical symmetry breaking by a constant magnetic field in
(3+1) dimensions is considered. We use the three flavour Nambu -- Jona-Lasinio
type model with 't Hooft and eight-quark interaction terms. It is shown that
the multi-quark interactions introduce new additional features to this
phenomenon: (a) the local minimum of the effective potential catalyzed by the
constant magnetic field is smoothed out with increasing strength of the field
at the characteristic scale H~10^{19} G, (b) the multi-quark forces generate
independently another local minimum associated with a larger dynamical fermion
mass. This state may exist even for multi-quark interactions with a subcritical
set of couplings, and is globally stable with respect to a further increase of
the magnetic field.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 18:19:35 GMT""},{""version"":""v2"",""created"":""Mon, 21 May 2007 12:31:47 GMT""}]","2007-06-22"
"hep-ph/0701091","Claudia Ratti","Claudia Ratti, Simon Roessner, Wolfram Weise","Quark number susceptibilities: lattice QCD versus PNJL model","8 pages, 2 figures","Phys.Lett.B649:57-60,2007","10.1016/j.physletb.2007.03.038","ECT*-07-01","hep-ph",,"  Quark number susceptibilities at finite quark chemical potential are
investigated in the framework of the Polyakov-loop-extended Nambu Jona-Lasinio
(PNJL) model. A detailed comparison is performed between the available lattice
data, extrapolated using a Taylor expansion around vanishing chemical
potential, and PNJL results consistently obtained from a Taylor series
truncated at the same order. The validity of the Taylor expansion is then
examined through a comparison between the full and truncated PNJL model
calculations.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 18:23:32 GMT""}]","2008-11-26"
"hep-ph/0701092","Eduardo Souza Fraga","Eduardo S. Fraga and Let\'icia F. Palhares","Fermion mass and the pressure of dense matter","3 pages, 2 figures. Presented at Quark Confinement and the Hadron
  Spectrum 7, Ponta Delgada, Azores, Portugal, 2-7 Sep 2006","AIP Conf.Proc.892:479-481,2007","10.1063/1.2714447",,"hep-ph",,"  We consider a simple toy model to study the effects of finite fermion masses
on the pressure of cold and dense matter, with possible applications in the
physics of condensates in the core of neutron stars and color
superconductivity.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 19:16:54 GMT""}]","2016-08-14"
"hep-ph/0701093","David Rainwater","D. Rainwater and T. Tait","Testing Grand Unification at the (S)LHC","12 pages, 7 embedded ps figures, submitted to PRD","Phys.Rev.D75:115014,2007","10.1103/PhysRevD.75.115014",,"hep-ph",,"  We examine the possibility of measuring the three gauge couplings at high
scales at the LHC, in order to see the first steps as they run toward Grand
Unification at much higher energies. Using the MSSM with sparticle masses of
several hundred GeV as an example of a theory in which the couplings do unify
at very high energies, we find that the processes pp->lv, pp->l+l- and
pp->gamma+j can be useful to discriminate the SM from the MSSM with masses at
the few hundred GeV scale, and determine that the couplings are converging at
better than the SM prediction toward the GUT scale. Such measurements
indirectly probe the existence of lower mass states, charged under the SM gauge
groups, but which may be difficult to produce directly or extract from
backgrounds at the LHC.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 23:30:50 GMT""}]","2008-11-26"
"hep-ph/0701094","Xuelei Wang","Xuelei Wang, Zhenlan Jin, Qingguo Zheng","The production of the new gauge boson $B_{H}$ via $e^{-}\gamma$
  collision in the littlest Higgs model","15 pages, 3 figures. Some typos have been corrected, we have added
  some new references, and there are also some changes in equation 11",,"10.1088/1674-1137/32/3/001",,"hep-ph",,"  The new lightest gauge boson $B_H$ with mass of a few hundred GeV is
predicted in the littlest Higgs model. $B_H$ should be accessible in the planed
ILC and the observation of such particle can strongly support the littlest
Higgs model. The realization of $\gamma\gamma$ and $e\gamma$ collision will
open a wider window to probe $B_H$. In this paper, we study the new gauge boson
$B_{H}$ production processes $e^{-}\gamma\to e^{-}\gamma B_{H}$ and
$e^{-}\gamma\to e^{-}Z B_{H}$ at the ILC. Our results show that the production
cross section of the process $e^{-}\gamma\to e^{-}Z B_{H}$ is less than one fb
in the most parameter spaces while the production cross section of the process
$e^{-}\gamma\to e^{-}\gamma B_{H}$ can reach the level of tens fb and even
hundreds of fb in the sizable parameter spaces allowed by the electroweak
precision data. With the high luminosity, the sufficient typical signals could
be produced, specially via $e^{-}\gamma\to e^{-}\gamma B_{H}$. Because the
final electron and photon beams can be easily identified and the signal can be
easily distinguished from the background produced by $Z$ and $H$ decaying,
$B_H$ should be detectable via $e\gamma$ collision at the ILC. Therefore, the
processes $e^{-}\gamma\to e^{-}\gamma B_{H}$ and $e^{-}\gamma\to e^{-}Z B_{H}$
provide a useful way to detect $B_{H}$ and test the littlest Higgs model.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 07:36:50 GMT""},{""version"":""v2"",""created"":""Fri, 2 Feb 2007 11:27:54 GMT""}]","2015-06-25"
"hep-ph/0701095","Tiago Charters","T. Charters, A. Nunes, J. P. Mimoso","Scalar field phase dynamics in preheating","4 pages, 4 figures, LaTeX; submitted to the Proceedings of Eleventh
  Marcel Grossmann Meeting",,"10.1142/9789812834300_0276",,"hep-ph gr-qc",,"  We study the model of a massive inflaton field $\phi$ coupled to another
scalar filed $\chi$ with interaction term $g^2\phi^2\chi^2$ for the first stage
of preheating. We obtain the the behavior of the phase in terms of the
iteration of a simple family of circle maps. When expansion of the universe is
taken into account the qualitative behavior of the phase and growth number
evolution is reminiscent of the behavior found in the case without expansion.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 10:33:36 GMT""}]","2016-11-15"
"hep-ph/0701096","Jose Antonio Oller","Jose Antonio Oller, Joaquim Prades and Michela Verbeni","Meson-Baryon Effective Chiral Lagrangians at O(q^3) Revisited","7 pages, 1 table. A mistake was corrected. Our Lagrangian and that of
  [2] contain the same number of monomials",,,"CERN-PH-TH/2007-004","hep-ph nucl-th",,"  After our work was published, Frink and Mei{\ss}ner \cite{FM06} pointed out
that our {\cal O}(q^3) three-flavour meson-baryon chiral Lagrangian was not
minimal. Here, we discuss their findings and revise ours accordingly. We find
that eight monomials in our ${\cal O}(q^3)$ Lagrangian are not independent, but
in addition, two monomials were wrongly discarded, which, as a result, makes
the agreement in the number of independent monomials with \cite{FM06} complete.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 11:55:49 GMT""},{""version"":""v2"",""created"":""Tue, 6 Mar 2007 10:31:48 GMT""}]","2007-05-23"
"hep-ph/0701097","Thorsten Renk","Thorsten Renk, Kari J. Eskola","Angular hadron correlations probing the early medium evolution","Talk given at the 19th International Conference on Ultrarelativistic
  Nucleus-Nucleus Collisions: Quark Matter 2006 (QM 2006), Shanghai, China,
  14-20 Nov 2006","J.Phys.G34:S663-666,2007","10.1088/0954-3899/34/8/S68",,"hep-ph",,"  Hard processes are a well calibrated probe to study heavy-ion collisions.
However, the information to be gained from the nuclear suppression factor R_AA
is limited, hene one has to study more differential observables to do medium
tomography. The angular correlations of hadrons associated with a hard trigger
appear suitable as they show a rich pattern when going from low p_T to high
p_T. Of prime interest is the fate of away side partons with an in-medium
pathlength O(several fm). At high p_T the correlations become dominated by the
punchtrough of the away side parton with subsequent fragmentation. We discuss
what information about the medium density can be gained from the data.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 13:05:33 GMT""}]","2008-11-26"
"hep-th/0701104","Duiliu-Emanuel Diaconescu","Duiliu-Emanuel Diaconescu, Ron Donagi, Bogdan Florea","Metastable Quivers in String Compactifications","22 pages, 1 figure; v2: references added","Nucl.Phys.B774:102-126,2007","10.1016/j.nuclphysb.2007.03.026","RUNHETC-07-34, SU-ITP-06/29, SLAC-PUB-12180","hep-th",,"  We propose a scenario for dynamical supersymmetry breaking in string
compactifications based on geometric engineering of quiver gauge theories. In
particular we show that the runaway behavior of fractional branes at del Pezzo
singularities can be stabilized by a flux superpotential in compact models. Our
construction relies on homological mirror symmetry for orientifolds.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 18:58:15 GMT""},{""version"":""v2"",""created"":""Fri, 2 Feb 2007 00:36:54 GMT""}]","2008-11-26"
"hep-th/0701107","Ryan Kerner","Ryan Kerner and R.B. Mann","Tunnelling From G\""odel Black Holes","19 pages, 5 figures, added reference","Phys.Rev.D75:084022,2007","10.1103/PhysRevD.75.084022",,"hep-th",,"  We consider the spacetime structure of Kerr-G\""odel black holes, analyzing
their parameter space Kerr-G\""odel in detail. We apply the tunnelling method to
compute their temperature and compare the results to previous calculations
obtained via other methods. We claim that it is not possible to have the CTC
horizon in between the two black hole horizons and include a discussion of
issues that occur when the radius of the CTC horizon is smaller than the radius
of both black hole horizons.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:32:53 GMT""},{""version"":""v2"",""created"":""Fri, 19 Jan 2007 17:39:33 GMT""}]","2008-11-26"
"hep-th/0701108","Shinji Hirano","Dongsu Bak, Michael Gutperle, Shinji Hirano","Three dimensional Janus and time-dependent black holes","17 pages, 1 figure; v2 minor corrections, references added","JHEP 0702:068,2007","10.1088/1126-6708/2007/02/068",,"hep-th gr-qc",,"  We show that the three dimensional Janus geometry can be embedded into the
type IIB supergravity and discuss its dual CFT description. We also find exact
solutions of time dependent black holes with a nontrivial dilaton field in
three and higher dimensions as an application of the Janus construction.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:26:34 GMT""},{""version"":""v2"",""created"":""Wed, 24 Jan 2007 20:14:24 GMT""}]","2010-10-27"
"hep-th/0701109","Florian Gmeiner","Florian Gmeiner, Frederik Witt","Calibrations on spaces with GxG-structure","4 pages; contribution to the proceedings of the RTN workshop
  ""Constituents, Fundamental Forces and Symmetries of the Universe"", Naples,
  Italy, 9-13 Oct 2006","Fortsch.Phys.55:727-730,2007","10.1002/prop.200610349","NIKHEF/2006-012","hep-th",,"  In these notes we give an introduction to the concept of spaces with
GxG-structure and their structured submanifolds. These objects generalise the
classical notion of a calibrated submanifold. Therefore, they are interesting
from a string theory viewpoint as they are relevant to describe D-branes in
string compactifications on backgrounds with fluxes.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:54:08 GMT""}]","2008-11-26"
"hep-th/0701110","Dmitri Vassilevich","D. M. Gitman and D. V. Vassilevich","Space-time noncommutativity with a bifermionic parameter","8 pages, v2: reference added, v3: misprints corrected","Mod.Phys.Lett.A23:887-893,2008","10.1142/S0217732308024481","Publicacao IFUSP-1631/2007","hep-th",,"  We consider a Moyal plane and propose to make the noncommutativity parameter
\Theta^{\mu\nu} bifermionic, i.e., composed of two fermionic (Grassmann odd)
parameters. The Moyal product then contains a finite number of derivatives,
which allows to avoid difficulties of the standard approach. As an example, we
construct a two-dimensional noncommutative field theory model based on the
Moyal product with a bifermionic parameter and show that it has a locally
conserved energy-momentum tensor. The model has no problems with the canonical
quantization and appears to be renormalizable.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 19:13:23 GMT""},{""version"":""v2"",""created"":""Fri, 19 Jan 2007 17:08:51 GMT""},{""version"":""v3"",""created"":""Thu, 8 Mar 2007 20:10:18 GMT""}]","2008-11-26"
"hep-th/0701111","Robert Brandenberger","Robert H. Brandenberger","Conceptual Problems of Inflationary Cosmology and a New Approach to
  Cosmological Structure Formation","33 pages, 4 figures Based on an invited talk at ""Inflation + 25"",
  Paris, June 2006 To be published in the proceedings (Springer, 2007)","Lect.NotesPhys.738:393-424,2008","10.1007/978-3-540-74353-8_11",,"hep-th astro-ph gr-qc hep-ph",,"  In spite of its great phenomenological success, current models of scalar
field-driven inflation suffer from important unresolved conceptual issues. New
fundamental physics will be required to address these questions. String theory
is a candidate for a unified quantum theory of all four forces of nature. As
will be shown, string theory may lead to a cosmological background quite
different from an inflationary cosmology, and may admit a new stringy mechanism
for the origin of a roughly scale-invariant spectrum of cosmological
fluctuations.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 21:24:34 GMT""}]","2008-11-26"
"hep-th/0701113","Etera R. Livine","Laurent Freidel, Florian Girelli, Etera R. Livine","The Relativistic Particle: Dirac observables and Feynman propagator","14 pages, Revtex4","Phys.Rev.D75:105016,2007","10.1103/PhysRevD.75.105016",,"hep-th",,"  We analyze the algebra of Dirac observables of the relativistic particle in
four space-time dimensions. We show that the position observables become
non-commutative and the commutation relations lead to a structure very similar
to the non-commutative geometry of Deformed Special Relativity (DSR). In this
framework, it appears natural to consider the 4d relativistic particle as a
five dimensional massless particle. We study its quantization in terms of wave
functions on the 5d light cone. We introduce the corresponding five-dimensional
action principle and analyze how it reproduces the physics of the 4d
relativistic particle. The formalism is naturally subject to divergences and we
show that DSR arises as a natural regularization: the 5d light cone is
regularized as the de Sitter space. We interpret the fifth coordinate as the
particle's proper time while the fifth moment can be understood as the mass.
Finally, we show how to formulate the Feynman propagator and the Feynman
amplitudes of quantum field theory in this context in terms of Dirac
observables. This provides new insights for the construction of observables and
scattering amplitudes in DSR.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 10:48:26 GMT""}]","2008-11-26"
"hep-th/0701114","Pascal Anastasopoulos","Pascal Anastasopoulos (Roma U ""Tor Vergata"" - INFN)","Anomalous U(1)'s, Chern-Simons couplings and the Standard Model","9 pages, 2 eps figures, LaTeX, feynmf & youngtab packages. (v2:
  references added). Contribution to the proceedings of the RTN project
  ""Constituents, Fundamental Forces and Symmetries of the Universe"" conference
  in Naples, October 9 - 13, 2006 and the PRIN meeting in Alessandria, December
  15-16, 2006","Fortsch.Phys.55:633-638,2007","10.1002/prop.200610337","ROM2F/2007/01","hep-th",,"  This proceeding is based on hep-th/0605225 and it shows that the most general
anomaly related effective action contains Stuckelberg, axionic and
Chern-Simons-like couplings. Such couplings are generically non-trivial in
orientifold string vacua. A similar analysis in quantum field theories provides
similar couplings. These Chern-Simons couplings generate new signals which
might be visible at LHC.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 11:21:39 GMT""},{""version"":""v2"",""created"":""Tue, 13 Feb 2007 10:10:54 GMT""}]","2008-11-26"
